ID,Type,Medium,Title,Year,Director,Watched,AdditionalInfo,Franchise,Prequels,Sequels,FranchiseComplete,MissingParts,Runtime,Genre,Summary,Writer,Music,Cinematography,CostumeDesign,Cast
Asterix_der_Gallier_1967,Movie,BluRay,Asterix der Gallier,1967,"René Goscinny, Albert Uderzo",YES,,YES,,,NO,"Asterix und Kleopatra, Asterix erobert Rom, Asterix – Sieg über Cäsar, Asterix bei den Briten, Asterix – Operation Hinkelstein, Asterix in Amerika,",65,"Animation, Comedy, History","Asterix movies are always fun. I can't exactly distinguish them but with this short of a runtime, do you really need to distinguish them?","René Goscinny, Albert Uderzo",Gérard Calvi,,,"Roger Carel, Jacques Morel, Pierre Tornade"
At_Eternitys_Gate_2018,Movie,DVD,At Eternity's Gate,2018,Julian Schnabel,NO,,NO,,,,,111,"Drama, History, Biography",Willem Defoe and Vincent Van Gogh together with an Oscar nomination in acting is a great combination to buy a DVD and eventually watch it.,"Jean-Claude Carrière, Louise Kugelberg, Julian Schnabel",Tatiana Lisovskaya,Benoît Delhomme,Karen Muller Serreau,"Willem Dafoe, Rupert Friend, Oscar Isaac, Mads Mikkelsen, Mathieu Amalric"
Avatar_2009,Movie,BluRay,Avatar,2009,James Cameron,YES,,YES,,,NO,Avatar: The Way of Water,162,"Fantasy, SciFi, Drama",An epic movie. Can't say much more just watch it again when you need to be inspired.,James Cameron,James Horner,Mauro Fiore,"Mayes C. Rubeo, Deborah L. Scott","Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez, Giovanni Ribisi, Joel David Moore"
Bad_Times_at_the_El_Royale_2018,Movie,DVD,Bad Times at the El Royale,2018,Drew Goddard,NO,,NO,,,,,136,"Action, Comedy","Haven't seen it yet but it has a great cast including Jodie Foster and famously everything with a Jodie in it, is great.",,,,,
Barbie_2023,Movie,BluRay,Barbie,2023,Greta Gerwig,YES,,NO,,,,,114,"Comedy, Romance, Drama",This will be a movie that people will still talk about in 20 years. It is a masterpiece that makes you laugh (as a woman and in the future hopefully also men) and Greta Gerwig was snubbed 100& of any award and Margot proves to be an incredible producer. Please never make a second Barbie. Leave this masterpiece as it is.,"Greta Gerwig, Noah Baumbach","Mark Ronson, Andrew Wyatt",Rodrigo Prieto,Jacqueline Durran,"Margot Robbie, Issa Rae, Kate McKinnon, Alexandra Shipp, Emma Mackey, Hari Nef, Sharon Rooney, Ritu Arya, Dua Lipa, Nicola Coughlan, Emeral Fennell, Ryan Gosling, Simu Liu, Kingsley Ben-Adir, Ncuti Gatwa, Michaele Cera, John Cena, America Ferrera, Ariana Greenblatt, Helen Mirren, Will Ferrel, Connor Swindells"
Batman_Begins_2005,Movie,DVD,Batman Begins,2005,Christopher Nolan,YES,,YES,,"The Dark Knight, The Dark Knight Rises",YES,,134,"Action, SciFi, Thriller",Nolan and DC. Two of my favorite things in the film industry,,,,,
Batman_v_Superman_Dawn_of_Justice_2016,Movie,BluRay,Batman v Superman: Dawn of Justice,2016,Zack Snyder,NO,,NO,,,,,151,"Action, Fantasy, Thriller",They say this is a good one. It's DC so eventually needs to be watched. For now it just has a cool cover in the collection. ,,,,,
Battle_for_the_Planet_of_the_Apes_1973,Movie,DVD,Battle for the Planet of the Apes,1973,J. Lee Thompson,YES,,YES,"Planet of the Apes, Beneath the Planet of the Apes, Escape from the Planet of the Apes, Conquest of the Planet of the Apes",,YES,,83,"Fantasy, Drama, SciFi",It's cool that you can watch these in a cycle. This is the last installment though where they did take it a little too far. Still a great film series though.,,,,,
Battle_of_the_Sexes_2017,Movie,BluRay,Battle of the Sexes,2017,"Jonathan Dayton, Valerie Faris",YES,,NO,,,,,122,"Drama, History, Sports","Emma Stone, Steve Carell and Tennis - great combination. I like the old style of the movie and an icon like Billie Jean King does deserve her own movie. It is dangerous because whenever I hear ""Rocketman"" by Elton John I have to watch this movie.",Simon Beaufoy,Nicholas Britell,Linus Sandrgen,Mary Zophres,"Emma Stone, Steve Carell, Andrea Riseborough, Natalie Morales, Sarah Silverman, Bill Pullman, Alan Cumming"
Baywatch_2017,Movie,DVD,Baywatch,2017,Seth Gordon,YES,,NO,,,,,112,"Comedy, Romance, Drama","It is so much fun and I am not ashamed to say that I love every minute of this movie. It's hot and has a great soundtrack, what else do you expect? ","Damian Shannon, Mark Swift",Christopher Lennertz,Eric Steelberg,Dayna Pink,"Dwayne Johnson, Zac Efron, Priyanka Chopra Jonas, Alexandra Daddario, Kelly Rohrbach, Ilfenesh Hadera, Jon Bass, Yahya Abdul-Mateen II, David Hasselhoff, Pamela Anderson"
Bean_1997,Movie,DVD,Bean,1997,Mel Smith,YES,,NO,,,,,85,Comedy,Iconic. British. Timeless. You can watch this any time and it will make you laugh. This is my dad and I love every bit of it.,,,,,
Beauty_and_the_Beast_2017,Movie,BluRay,Beauty and the Beast,2017,Bill Condon,YES,,NO,,,,,129,"Fantasy, Drama, Romance","Emma Watson is a great bell. The voice-actors are great for Lumiere and Co. and it just looks magical. For me, this started the Disney Live Action era and it hasn't gotten as good as this. It's not like this is one of the best movies ever but it is a solid remake if you have to have one.",,,,,
Bee_Movie_2007,Movie,DVD,Bee Movie,2007,"Simon J. Smith, Steve Hickner",YES,,NO,,,,,87,"Animation, Coming-of-Age, Comedy",You like jazz? There is probably so many jokes I still need to discover here. I have a great memory from watching it the first time when it came out at the cinema. I feel likethis movie is being forgotten too fast.,,,,,
Beneath_the_Planet_of_the_Apes_1970,Movie,DVD,Beneath the Planet of the Apes,1970,Ted Post,YES,,YES,Planet of the Apes,"Escape from the Planet of the Apes, Conquest of the Planet of the Apes, Battle for the Planet of the Apes",YES,,91,"Fantasy, Drama, SciFi",The monkey do creep you out at some point but it is kind of funny how fast you forget there are actual people behind these masks and you see them as actual apes.,,,,,
Birdman_or_The_Unexpected_Virtue_of_Ignorance_2014,Movie,DVD,Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro G. Inárritu,YES,,NO,,,,,114,"Drama, Comedy",Didn't like it the first time around but loved it the second time around and every time after that. Emma Stone's scene where she yells at Michael Keaton is iconic and really should have been her first Oscar win.,"Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Armando Bo",Antonio Sanchez,Emmanuel Lubezki,Albert Wolsky,"Michael Keaton, Zach Galifianakis, Edward Norton, Andrea Riseborough, Emma Stone, Merritt Wever, Amy Ryan"
Birds_Of_Prey_And_the_Fantabulous_Emancipation_of_One_Harley_Quinn_2020,Movie,BluRay,Birds Of Prey (And the Fantabulous Emancipation of One Harley Quinn),2020,Cathy Yan,YES,,NO,,,,,109,"Action, Comedy, SciFi",Girlgang and Harley Quinn. I love the little things that point out this movie was directed by a woman and has women at its center. We want more of this. Also Ewan McGregor makes a great villain and the soundtrack is amazing. Harley's break-up message to the Joker scene is one of my favorite scenes in movie history.,Christina Hodson,Daniel Pemberton,Matthew Libatique,"Erin Benach, Helen Huang","Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, Jurnee Smollett, Ewan McGregor, Ella Jay  Basco, Chris Messina, Ali  Wong"
Black_Panther_2018,Movie,BluRay,Black Panther,2018,Ryan Coogler,YES,signed by Letitia Wright,YES,,,NO,Black Panther: Wakanda Forever,134,"Action, SciFi, Drama",The costume and production design as well as the African accents are my favorite part of this movie. Chadwick Boseman will always be remembered as Black Panther and it is crazy how much talent they managed to put into this movie. It is one of the great Marvel movies and has set the way for so many more but it will always stay legendary no matter what else comes.,,,,,
BlacKkKlansman_2018,Movie,BluRay,BlacKkKlansman,2018,Spike Lee,YES,,NO,,,,,135,"Drama, Biography, Comedy",It's funny and sad at the same time but it depicts one of the many mysteries of today's society really well: racism.,,,,,
Blade_Runner_1982,Movie,DVD,Blade Runner,1982,Ridley Scott,YES,,YES,,,NO,Blade Runner 2049,113,"SciFi, Action, Drama",It's a classic which is why it's in this collection but I haven't actually seen it. Harrison Ford and Ridley Scott should be good enough arguments to watch it eventually though.,,,,,
Bombshell_2019,Movie,DVD,Bombshell,2019,Jay Roach,YES,,NO,,,,,105,"Drama, Biography",No crying at Fox. The cast of this is insane and the fact that they added real-life footage that you cannot tell where it is also. Charlize Theron as Megyn Kelly should have earned her a second Oscar and Margot Robbie and Kate McKinnon are a super fun unexpected duo (as proven in Barbie). A standout: the Editing.,Charles Randolph,Theodore Shapiro,Barry Ackroyd,Colleen Atwood,"Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow, Allison Janney, Malcolm McDowell, Kate McKinnon, Connie Britton, Liv Hewson, Mark Duplass, D'Arcy Carden, Jennifer Morrison, Madeline Zima"
Booksmart_2019,Movie,DVD,Booksmart,2019,Olivia Wilde,YES,,NO,,,,,98,"Comedy, Coming-of-Age, Drama",Thank you for introducing me to Kaitlyn Dever. This movie is representation and fun and love and anxiety.,"Katie Silberman, Susanna Fogel, Sarah Haskins, Emily Halpern",Dan The Automator,Jason McCormick,April Napier,"Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis, Lisa Kudrow, Will Forte,  Mason Gooding, Skyler Gisondo, Diana Silvers, Molly Gordon, Billie Lourd, Noah Galvin, Maya Rudolph"
Brooklyn_2015,Movie,DVD,Brooklyn,2015,John Crawley,YES,,NO,,,,,107,"History, Romance, Drama",This was the first movie I conciously watched because of Saoirse Ronan. Romantic and Irish and Oscar-nominated.,,,,,
Call_Jane_2022,Movie,DVD,Call Jane,2022,Phyllis Nagy,NO,,NO,,,,,121,Drama,Elizabeth Banks makes all my guilty pleasure movies. This also stars Chris Messina and Sigourney Weaver so it has enough arguments to be in my library.,,,,,
Capote_2005,Movie,DVD,Capote,2005,Bennett Miller,NO,,NO,,,,,110,"Biography, Crime, Drama",Truman Capote stars in Murder by Death. Philipp Seymor Hoffmann has an incredible filmography and of course is a huge part of the Hunger Games franchise so this movie is important.,,,,,
Captain_America_The_Winter_Soldier_2014,Movie,BluRay,Captain America: The Winter Soldier,2014,"Anthony Russo, Joe Russo",YES,,YES,,,NO,"Captain America: The First Avenger, Captain America: Civil War",136,"SciFi, Action",In my selected Marvel movies that I like. Yes Chris Evans is hot but also the movie is really good too  😉,,,,,
Carol_2015,Movie,BluRay,Carol,2015,Todd Haynes,YES,,NO,,,,,118,"Romance, History, Drama",It's gay. It's also wonderful and sad and infuriating and Cate Blanchett and the music is hauntingly beautiful. You could actually categorize this as a Christmas movie too.,Phyllis Nagy,Carter Burwell,Edward Lachman,Sandy Powell,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler"
Casino_Royale_2006,Movie,DVD,Casino Royale,2006,Martin Campbell,NO,,YES,,"Quantum of Solace, Skyfall, Spectre",NO,No Time To Die,144,"Action, Drama",If James Bond is considered movie history I will have the Daniel Craig ones to watch in my library because I will not have the others in my collection. This still needs to be watched (at some point).,,,,,
Charlie_and_the_Chocolate_Factory_2005,Movie,DVD,Charlie and the Chocolate Factory,2005,Tim Burton,YES,,NO,,,,,110,"Seasonal, Adventure, Fantasy",Whenever the snow in the beginning appears on my TV I know it's Christmas time. Sitting down to see Charlie find that Golden Ticket and his family ending up with a nice turkey on their table living in the chocolate factory and knowing his grandpa is happy has become a beautiful tradition for my household.,,,,,
Charlies_Angels_2019,Movie,DVD,Charlie's Angels,2019,Elizabeth Banks,YES,,NO,,,,,114,"Action, Comedy","Elizabeth Banks 🤷. For some reason this woman always hits my taste for casual movies exactly. Great talent, shallow story, fun little one-liners and cool soundtrack. Kristen Stewart and Naomi Scott did a great press tour and that's really all that it takes for me to like a movie and watch it more that others would.",Elizabeth Banks,Brian Tyler,Bill Pope,Kym Barret,"Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks, Patrick Stewart, Djimon Hounsou, Sam Claflin, Noah Centineo"
Christopher_Robin_2018,Movie,DVD,Christopher Robin,2018,Marc Forster,YES,,NO,,,,,99,"Adventure, Drama",I am only now realizing how many movies I have that star Ewan McGregor. Winnie the Pooh is important to me so this movie is obviously also part of my collection. I saw the Winnie the Pooh puppet they used in this movie so now it is even more meaningful to Honey. ,,,,,
Citizen_Kane_1941,Movie,DVD,Citizen Kane,1941,Orson Welles,NO,,NO,,,,,119,"Drama, Mystery",Another classic I have never seen but is part of the collection because it is.,,,,,
Cloudy_with_a_Chance_of_Meatballs_2_2013,Movie,DVD,Cloudy with a Chance of Meatballs 2,2013,"Cody Cameron, Kris Pearn",YES,,YES,,,NO,Cloudy with a Chance of Meatballs,91,"Animation, Adventure, Action","It is rare that a second installment of a movie is better than the first but in this case the puns and beautiful visuals of Cloudy with a Chance of Meatballs 2 win over the eventual disgusting food mess that was Cloudy with a Chance of Meatballs 1. As shallow as ""There is a leek in the boat"" is, it gets me every time and is incredibly cute.",,,,,
Clue_1985,Movie,DVD,Clue,1985,Jonathan Lynn,YES,,NO,,,,,93,"Crime, Comedy",Classic 80s crime comedy that is a must-have for me. It is the little sister of Murder by Death and since that is the greatest movie I have ever seen in my life the family has to be complete.,,,,,
Collateral_2004,Movie,BluRay,Collateral,2004,Michael Mann,NO,,NO,,,,,120,"Action, Crime, Thriller",,,,,,
Conquest_of_the_Planet_of_the_Apes_1972,Movie,DVD,Conquest of the Planet of the Apes,1972,J. Lee Thompson,YES,,YES,"Planet of the Apes, Beneath the Planet of the Apes, Escape from the Planet of the Apes",Battle for the Planet of the Apes,YES,,83,"Fantasy, Drama, SciFi",,,,,,
Crazy_Rich_Asians_2018,Movie,DVD,Crazy Rich Asians,2018,Jon M. Chu,YES,,NO,,,,,116,"Comedy, Romance, Drama","Ching Fuuuu! The soundtrack is really great, but also it feels like something fresh in the Rom-Com universe. Awkwafina is always fun and seeing a collective culture represented on screen is always nice because it is relateable to me. I wonder what happened to the other movies they wanted to make. The one time I actually want sequels they don't make them.",,,,,
Dead_Poets_Society_1989,Movie,DVD,Dead Poets Society,1989,Peter Weir,NO,,NO,,,,,123,"Coming-of-Age, Drama, Comedy",Classic that I haven't seen yet but it has Robin Williams and a famous scene where people stand on chairs.,,,,,
Death_on_the_Nile_1978,Movie,DVD,Death on the Nile,1978,John Guillermin,YES,,NO,,,,,134,"Crime, Drama, Mystery","One of the best whodunnit movies ever made. The cast features the greatest actresses and actors of all time with Peter Ustinov and the best Poirot depiction. The music, the scenery and the plot make the two hours plus go by like nothing and the amount of people dying makes this one of the juicier cases  👀.",,,,,
Despicable_Me_2010,Movie,DVD,Despicable Me,2010,"Pierre Coffin, Chris Renaud",YES,,YES,Minions,Despicable Me 2,NO,"Minions 2, Despicable Me 3, Despicable Me 4",91,"Animation, Comedy",,,,,,
Despicable_Me_2_2013,Movie,DVD,Despicable Me 2,2013,"Pierre Coffin, Chris Renaud",YES,,YES,"Minions, Despicable Me",,NO,"Minions 2, Despicable Me 3, Despicable Me 4",94,"Animation, Comedy",,,,,,
Diary_of_a_Wimpy_Kid_2010,Movie,DVD,Diary of a Wimpy Kid,2010,Thor Freudenthal,YES,,YES,,"Diary of a Wimpy Kid: Rodrick Rules, Diary of a Wimpy Kid: Dog Days",YES,,89,"Coming-of-Age, Comedy",The fact that this movie is actually quite good is so surprising to me and the fact that I can/could relate too well with Greg is absolutely scary and I am glad I don't anymore.,,,,,
Diary_of_a_Wimpy_Kid_Dog_Days_2012,Movie,DVD,Diary of a Wimpy Kid: Dog Days,2012,David Bowers,YES,,YES,"Diary of a Wimpy Kid, Diary of a Wimpy Kid: Rodrick Rules",,YES,,90,"Coming-of-Age, Comedy",Another one to just complete the franchise. Not as horrible of a movie as Allegiant but definitely not a must-see.,,,,,
Diary_of_a_Wimpy_Kid_Rodrick_Rules_2011,Movie,DVD,Diary of a Wimpy Kid: Rodrick Rules,2011,David Bowers,YES,,YES,Diary of a Wimpy Kid,Diary of a Wimpy Kid: Dog Days,YES,,95,"Coming-of-Age, Comedy","If you don't find Rodrick attractive after this movie I don't know what's wrong with you. But aside from Rodrick playing a bigger role than in the first movie, this is actually a very lovely sibling movie.",,,,,
Die_Wilden_Kerle_Alles_ist_gut_solange_du_wild_bist_2003,Movie,DVD,"Die Wilden Kerle: Alles ist gut, solange du wild bist!",2003,Joachim Masannek,YES,,YES,,,NO,"Die Wilden Kerle 2, Die Wilden Kerle 3, DWK 4, DWK 5",96,"Coming-of-Age, Sports",Gefährlich und wild. Niemand wird und war jemals so cool wie die wilden Kerle. Camelot war ein Traum und das Gefecht zwischen den Wilden Kerlen und Michi und den Unbesiegbaren Siegern bei Camelot war damals das Epischste was die Filmwelt zu bieten hatte. Keine Diskussion.,,,,,
Divergent_2014,Movie,DVD,Divergent,2014,Neil Burger,YES,also available in Thai,YES,,"Insurgent, Allegiant",YES,,134,"SciFi, Drama, Action","We're lucky to live in the city. I don't like to admit this a lot, but this is probably the movie I have seen the most in my life. Why? Because it was in my DVD reader and I was playing Minecraft and didn't care to swap the film. Aside from that it really is a good movie. Music by Hans Zimmer and those Establishing shots with the voice over - honestly - it works. This film introduces the world of Divergent really well. It sets a great basis for a promising franchise. I'm sure the filmmakers picked up the great basework and continued the franchise with lots of respect to the book and dignity.",,,,,
Doctor_Foster_A_Woman_Scorned_Season_1_2015,Series,DVD,Doctor Foster: A Woman Scorned [Season 1],2015,Mike Bartlett,YES,,YES,,Doctor Foster: A Woman Scorned [Season 2],YES,,60,"Drama, Mystery, Romance","I never thought I would hate Jodie Comer. I thought that without understanding the true power this woman holds. A great series that depicts the aweful truth and consequences of unfaithfulness. Simon Foster is the most hated man in television (by me). THAT dinner scene is so iconic, it belongs in a museum. Bitch is right and I'm a wolf tonight!",Mike Bartlett,Frans Bak,"Jean-Philippe Gossart, Joel Devlin",Alexandra Caulfield,"Suranne Jones, Bertie Carvel, Tom Taylor, Thusitha Jayasundera, Shazia Nicholls, Jodie Comer"
Doctor_Foster_A_Woman_Scorned_Season_2_2017,Series,DVD,Doctor Foster: A Woman Scorned [Season 2],2017,Mike Bartlett,YES,,YES,Doctor Foster: A Woman Scorned [Season 1],,YES,,60,"Drama, Romance",People complain about the second season of Doctor Foster. I don't mind it. It's good to see that Jodie finds a good life and Simon gets what he deserves. I like that they show what the affair did to Tom.,Mike Bartlett,Stuart Earl,Ben Wheeler,Jo Slater,"Suranne Jones, Bertie Carvel, Tom Taylor, Thusitha Jayasundera, Shazia Nicholls, Jodie Comer"
Doubt_2008,Movie,BluRay,Doubt,2008,John Patrick Shanley,NO,,NO,,,,,104,"Drama, Mystery",,,,,,
Drive_2011,Movie,DVD,Drive,2011,Nicolas Winding Refn,NO,,NO,,,,,96,"Action, Drama",,,,,,
Dune_2021,Movie,BluRay,Dune,2021,Denis Villeneuve,YES,,YES,,,NO,Dune: Part Two,155,"SciFi, Epic, Drama","It is a slow-burner. Or rather, there isn't much happening okay. But visually this movie is great. It sets up the universe in a great way. The soundtrack is epic and you really feel like you just walked through the vast extents of a dystopian desert.",,,,,
Easy_A_2010,Movie,DVD,Easy A,2010,Will Gluck,YES,,NO,,,,,89,"Comedy, Coming-of-Age, Drama",A 2000s classic. Pocketful of Sunshine will always remind me of two things: this and Norway and I think that's beautiful. As a Millenial this movie is a necessity in my collection.,Bert V. Royal,Brad Segal,Michael Grady,Mynka Draper,"Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd, Thomas Haden Church, Patricia Clarkson, Lisa Kudrow, Malcolm McDowell, Stanley Tucci, Fred Armisen"
Eddie_the_Eagle_2015,Movie,DVD,Eddie the Eagle,2015,Dexter Fletcher,YES,,NO,,,,,102,"Sports, Biography, Drama",,,,,,
England_Is_Mine_2017,Movie,DVD,England Is Mine,2017,Mark Gill,YES,,NO,,,,,94,"Biography, Drama",I didn't really love this movie and it's my least liked film from Jodie's filmography but after all it is Jodie Comer in there so naturally it has to be in the collection. Maybe I will like it better on a rewatch.,"Mark Gill, William Thacker","Mark Gill, Richard Skelton",Nicholas D. Knowland,"Yvonne Duckett, Oliver Garcia","Jodie Comer, Jack Lowden, Jessica Brown Findlay, Simone Kirby, Peter McDonald"
Escape_from_the_Planet_of_the_Apes_1971,Movie,DVD,Escape from the Planet of the Apes,1971,Don Taylor,YES,,YES,"Planet of the Apes, Beneath the Planet of the Apes","Conquest of the Planet of the Apes, Battle for the Planet of the Apes",YES,,93,"Fantasy, Drama, SciFi",,,,,,
Everything_Everywhere_All_At_Once_2022,Movie,DVD,Everything Everywhere All At Once,2022,"Dan Kwan, Daniel Scheinert",YES,,NO,,,,,134,"Comedy, Epic, Action","This movie can be confusing but has a beautiful story and funny twists and turns and ideas. It is a fresh idea and something new that makes cinema exciting. I think there is a story for every person to relate to. Whether it is the mother-daughter relationship or the romantic relationship, there is so much to find in this movie.",,,,,
Evil_Under_the_Sun_1982,Movie,DVD,Evil Under the Sun,1982,Guy Hamilton,YES,,NO,,,,,111,"Crime, Mystery, Drama","Another whodunnit with an allstar cast that teleports you to a wonderful vacation on a submediterranean island in the south of Europe. Peter Ustinov as Poirot is simply the best. Also, this DVD has some behind the scenes extras which are super fun.",,,,,
Ex_Machina_2014,Movie,DVD,Ex Machina,2014,Alex Garland,YES,,NO,,,,,103,"SciFi, Drama",,,,,,
Exodus_2014,Movie,BluRay,Exodus,2014,Ridley Scott,NO,,NO,,,,,150,"Action, Drama, Fantasy",,,,,,
